State,Year,e_price
AL,2012,9.18
KY,2012,7.26
MS,2012,8.6
TN,2012,9.27
WSC,2012,8.11
AR,2012,7.62
LA,2012,6.9
OK,2012,7.54
TX,2012,8.55
MTN,2012,8.82
AZ,2012,9.81
CO,2012,9.39
ID,2012,6.92
MT,2012,8.25
NV,2012,8.95
NM,2012,8.83
UT,2012,7.84
WY,2012,7.19
PCC,2012,11.38
CA,2012,13.53
OR,2012,8.21
WA,2012,6.94
PCN,2012,26.96
AK,2012,16.33
HI,2012,34.04
AT,2012,11.24
NEW,2013,14.47
CT,2013,15.66
ME,2013,11.86
MA,2013,14.51
NH,2013,14.3
RI,2013,13.72
VT,2013,14.61
MAT,2013,12.85
NJ,2013,13.69
NY,2013,15.44
PA,2013,9.81
ENC,2013,9.4
IL,2013,8.26
IN,2013,8.73
MI,2013,11.21
OH,2013,9.2
WI,2013,10.51
WNC,2013,8.98
IA,2013,8.07
KS,2013,9.72
MN,2013,9.41
MO,2013,9.04
NE,2013,8.74
ND,2013,8.2
SD,2013,8.86
SAT,2013,9.75
DE,2013,10.9
DC,2013,11.85
FL,2013,10.22
GA,2013,9.69
MD,2013,11.66
NC,2013,9.24
SC,2013,9.24
VA,2013,8.96
WV,2013,7.91
ESC,2013,8.71
AL,2013,9.02
KY,2013,7.69
MS,2013,9.11
TN,2013,9.13
WSC,2013,8.42
AR,2013,7.93
LA,2013,8.04
OK,2013,7.86
TX,2013,8.66
MTN,2013,9.18
AZ,2013,10.14
CO,2013,9.88
ID,2013,7.57
MT,2013,8.58
NV,2013,9.03
NM,2013,9.25
UT,2013,8.15
WY,2013,7.55
PCC,2013,11.94
CA,2013,14.3
OR,2013,8.44
WA,2013,7.09
PCN,2013,26.59
AK,2013,16.49
HI,2013,33.26
AT,2013,11.3
NEW,2014,15.45
CT,2014,17.05
ME,2014,12.65
MA,2014,15.35
NH,2014,15.22
RI,2014,15.41
VT,2014,14.57
MAT,2014,13.41
NJ,2014,13.95
NY,2014,16.25
PA,2014,10.28
ENC,2014,9.85
IL,2014,9.36
IN,2014,9.06
MI,2014,11.03
OH,2014,9.73
WI,2014,10.57
WNC,2014,9.12
IA,2014,8.15
KS,2014,10.16
MN,2014,9.52
MO,2014,9.11
NE,2014,8.84
ND,2014,8.41
SD,2014,9.05
SAT,2014,10.07
DE,2014,11.22
DC,2014,12.11
FL,2014,10.77
GA,2014,10.03
MD,2014,12.1
NC,2014,9.33
SC,2014,9.67
VA,2014,9.17
WV,2014,7.65
ESC,2014,9.08
AL,2014,9.27
KY,2014,8.15
MS,2014,9.6
TN,2014,9.4
WSC,2014,8.65
AR,2014,7.9
LA,2014,8.09
OK,2014,8.18
TX,2014,8.94
MTN,2014,9.42
AZ,2014,10.18
CO,2014,10.06
ID,2014,7.93
MT,2014,8.59
NV,2014,9.73
NM,2014,9.65
UT,2014,8.35
WY,2014,7.76
PCC,2014,12.55
CA,2014,15.15
OR,2014,8.68
WA,2014,7.13
PCN,2014,27.13
AK,2014,17.46
HI,2014,33.43
AT,2014,11.74
NEW,2015,16.52
CT,2015,17.77
ME,2015,12.78
MA,2015,16.9
NH,2015,16.02
RI,2015,17.01
VT,2015,14.41
MAT,2015,13.0
NJ,2015,13.74
NY,2015,15.28
PA,2015,10.31
ENC,2015,9.89
IL,2015,9.4
IN,2015,8.99
MI,2015,10.76
OH,2015,9.98
WI,2015,10.73
WNC,2015,9.29
IA,2015,8.35
KS,2015,10.14
MN,2015,9.53
MO,2015,9.44
NE,2015,8.91
ND,2015,8.75
SD,2015,9.47
SAT,2015,9.97
DE,2015,11.17
DC,2015,12.07
FL,2015,10.49
GA,2015,9.62
MD,2015,12.07
NC,2015,9.37
SC,2015,9.58
VA,2015,9.31
WV,2015,8.11
ESC,2015,9.06
AL,2015,9.33
KY,2015,8.14
MS,2015,9.53
TN,2015,9.3
WSC,2015,8.41
AR,2015,8.19
LA,2015,7.65
OK,2015,7.9
TX,2015,8.7
MTN,2015,9.48
AZ,2015,10.34
CO,2015,9.94
ID,2015,8.09
MT,2015,8.9
NV,2015,9.48
NM,2015,9.62
UT,2015,8.54
WY,2015,7.97
PCC,2015,12.82
CA,2015,15.42
OR,2015,8.75
WA,2015,7.4
PCN,2015,22.8
AK,2015,17.59
HI,2015,26.17
AT,2015,11.485
NEW,2016,16.13
CT,2016,17.24
ME,2016,12.8
MA,2016,16.48
NH,2016,15.66
RI,2016,16.28
VT,2016,14.46
MAT,2016,12.56
NJ,2016,13.38
NY,2016,14.47
PA,2016,10.19
ENC,2016,9.94
IL,2016,9.38
IN,2016,9.22
MI,2016,11.05
OH,2016,9.84
WI,2016,10.67
WNC,2016,9.59
IA,2016,8.55
KS,2016,10.49
MN,2016,9.99
MO,2016,9.74
NE,2016,9.05
ND,2016,8.94
SD,2016,9.83
SAT,2016,9.79
DE,2016,11.09
DC,2016,11.73
FL,2016,9.91
GA,2016,9.59
MD,2016,12.21
NC,2016,9.2
SC,2016,9.79
VA,2016,9.09
WV,2016,8.98
ESC,2016,9.04
AL,2016,9.56
KY,2016,8.42
MS,2016,8.67
TN,2016,9.23
WSC,2016,8.19
AR,2016,8.13
LA,2016,7.46
OK,2016,7.83
TX,2016,8.43
MTN,2016,9.31
AZ,2016,10.33
CO,2016,9.83
ID,2016,8.08
MT,2016,8.84
NV,2016,8.38
NM,2016,9.12
UT,2016,8.72
WY,2016,8.19
PCC,2016,12.75
CA,2016,15.23
OR,2016,8.83
WA,2016,7.68
PCN,2016,21.53
AK,2016,17.93
HI,2016,23.87
AT,2016,11.175
NEW,2017,16.58
CT,2017,17.55
ME,2017,13.02
MA,2017,17.12
NH,2017,16.17
RI,2017,16.42
VT,2017,14.6
MAT,2017,12.63
NJ,2017,13.32
NY,2017,14.74
PA,2017,10.13
ENC,2017,10.12
IL,2017,9.49
IN,2017,9.77
MI,2017,11.28
OH,2017,9.84
WI,2017,10.76
WNC,2017,9.77
IA,2017,8.73
KS,2017,10.6
MN,2017,10.27
MO,2017,10.03
NE,2017,9.08
ND,2017,8.78
SD,2017,10.05
SAT,2017,9.96
DE,2017,10.9
DC,2017,11.8
FL,2017,10.42
GA,2017,9.83
MD,2017,11.98
NC,2017,9.04
SC,2017,9.97
VA,2017,9.18
WV,2017,9.0
ESC,2017,9.29
AL,2017,9.83
KY,2017,8.57
MS,2017,9.09
TN,2017,9.45
WSC,2017,8.26
AR,2017,8.26
LA,2017,7.79
OK,2017,8.2
TX,2017,8.38
MTN,2017,9.51
AZ,2017,10.64
CO,2017,9.99
ID,2017,8.26
MT,2017,8.92
NV,2017,8.76
NM,2017,9.59
UT,2017,8.6
WY,2017,8.28
PCC,2017,13.28
CA,2017,16.06
OR,2017,8.81
WA,2017,7.94
PCN,2017,23.28
AK,2017,19.1
HI,2017,26.05
AT,2017,11.295000000000002
NEW,2018,17.63
CT,2018,18.41
ME,2018,13.44
MA,2018,18.5
NH,2018,17.01
RI,2018,18.1
VT,2018,15.13
MAT,2018,12.63
NJ,2018,13.23
NY,2018,14.83
PA,2018,10.1
ENC,2018,10.17
IL,2018,9.6
IN,2018,9.75
MI,2018,11.4
OH,2018,9.94
WI,2018,10.58
WNC,2018,9.81
IA,2018,8.92
KS,2018,10.72
MN,2018,10.37
MO,2018,9.93
NE,2018,9.02
ND,2018,8.91
SD,2018,9.97
SAT,2018,9.9
DE,2018,10.55
DC,2018,12.03
FL,2018,10.32
GA,2018,9.62
MD,2018,11.57
NC,2018,9.25
SC,2018,9.67
VA,2018,9.48
WV,2018,8.72
ESC,2018,9.29
AL,2018,9.63
KY,2018,8.52
MS,2018,9.24
TN,2018,9.58
WSC,2018,8.27
AR,2018,7.78
LA,2018,7.71
OK,2018,8.09
TX,2018,8.48
MTN,2018,9.48
AZ,2018,10.85
CO,2018,10.02
ID,2018,8.17
MT,2018,8.84
NV,2018,8.67
NM,2018,9.35
UT,2018,8.21
WY,2018,8.09
PCC,2018,13.66
CA,2018,16.58
OR,2018,8.85
WA,2018,8.0
PCN,2018,25.35
AK,2018,19.36
HI,2018,29.18
AT,2018,11.265
NEW,2019,17.76
CT,2019,18.66
ME,2019,14.04
MA,2019,18.4
NH,2019,17.15
RI,2019,18.49
VT,2019,15.36
MAT,2019,12.35
NJ,2019,13.42
NY,2019,14.34
PA,2019,9.81
ENC,2019,10.13
IL,2019,9.56
IN,2019,9.91
MI,2019,11.56
OH,2019,9.58
WI,2019,10.66
WNC,2019,9.69
IA,2019,9.08
KS,2019,10.26
MN,2019,10.33
MO,2019,9.68
NE,2019,9.08
ND,2019,8.85
SD,2019,9.96
SAT,2019,10.02
DE,2019,10.52
DC,2019,12.27
FL,2019,10.44
GA,2019,9.86
MD,2019,11.24
NC,2019,9.45
SC,2019,10.02
VA,2019,9.52
WV,2019,8.49
ESC,2019,9.4
AL,2019,9.83
KY,2019,8.61
MS,2019,9.28
TN,2019,9.69
WSC,2019,8.36
AR,2019,8.22
LA,2019,7.71
OK,2019,7.86
TX,2019,8.6
MTN,2019,9.39
AZ,2019,10.52
CO,2019,10.17
ID,2019,7.89
MT,2019,9.02
NV,2019,8.78
NM,2019,8.99
UT,2019,8.24
WY,2019,8.1
PCC,2019,13.79
CA,2019,16.89
OR,2019,8.81
WA,2019,8.04
PCN,2019,25.48
AK,2019,20.22
HI,2019,28.72
AT,2019,11.184999999999999
NEW,2020,17.73
CT,2020,19.13
ME,2020,13.54
MA,2020,18.19
NH,2020,16.63
RI,2020,18.54
VT,2020,16.33
MAT,2020,12.56
NJ,2020,13.63
NY,2020,14.87
PA,2020,9.7
ENC,2020,10.28
IL,2020,9.75
IN,2020,9.92
MI,2020,12.21
OH,2020,9.44
WI,2020,10.82
WNC,2020,9.69
IA,2020,8.97
KS,2020,10.38
MN,2020,10.57
MO,2020,9.64
NE,2020,8.97
ND,2020,8.53
SD,2020,10.06
SAT,2020,9.84
DE,2020,10.24
DC,2020,11.9
FL,2020,10.06
GA,2020,9.93
MD,2020,11.15
NC,2020,9.43
SC,2020,9.9
VA,2020,9.16
WV,2020,8.75
ESC,2020,9.32
AL,2020,9.84
KY,2020,8.58
MS,2020,9.13
TN,2020,9.52
WSC,2020,8.17
AR,2020,8.32
LA,2020,7.51
OK,2020,7.63
TX,2020,8.36
MTN,2020,9.4
AZ,2020,10.44
CO,2020,10.27
ID,2020,7.99
MT,2020,9.13
NV,2020,8.33
NM,2020,9.33
UT,2020,8.27
WY,2020,8.27
PCC,2020,14.63
CA,2020,18.0
OR,2020,8.82
WA,2020,8.33
PCN,2020,24.44
AK,2020,19.82
HI,2020,27.55
AT,2020,11.2
NEW,2021,18.03
CT,2021,18.32
ME,2021,13.96
MA,2021,19.06
NH,2021,17.37
RI,2021,18.44
VT,2021,16.34
MAT,2021,13.22
NJ,2021,14.01
NY,2021,16.11
PA,2021,9.97
ENC,2021,10.69
IL,2021,10.14
IN,2021,10.36
MI,2021,12.93
OH,2021,9.76
WI,2021,11.01
WNC,2021,9.9
IA,2021,9.13
KS,2021,10.47
MN,2021,11.08
MO,2021,9.85
NE,2021,8.84
ND,2021,8.65
SD,2021,10.43
SAT,2021,10.12
DE,2021,10.5
DC,2021,12.81
FL,2021,10.67
GA,2021,10.43
MD,2021,11.48
NC,2021,9.29
SC,2021,9.96
VA,2021,9.14
WV,2021,8.87
ESC,2021,9.69
AL,2021,10.18
KY,2021,9.12
MS,2021,9.5
TN,2021,9.78
WSC,2021,9.03
AR,2021,9.1
LA,2021,8.82
OK,2021,8.52
TX,2021,9.14
MTN,2021,9.7
AZ,2021,10.73
CO,2021,10.9
ID,2021,8.17
MT,2021,9.5
NV,2021,8.58
NM,2021,9.79
UT,2021,8.34
WY,2021,8.25
PCC,2021,15.7
CA,2021,19.65
OR,2021,8.95
WA,2021,8.75
PCN,2021,26.19
AK,2021,20.02
HI,2021,30.31
AT,2021,11.67
NEW,2022,20.47
CT,2022,21.08
ME,2022,17.44
MA,2022,21.27
NH,2022,21.07
RI,2022,19.3
VT,2022,16.99
MAT,2022,15.02
NJ,2022,14.8
NY,2022,18.33
PA,2022,11.86
ENC,2022,11.77
IL,2022,11.94
IN,2022,11.66
MI,2022,13.2
OH,2022,10.64
WI,2022,11.95
WNC,2022,10.38
IA,2022,9.57
KS,2022,11.47
MN,2022,12.04
MO,2022,10.26
NE,2022,8.83
ND,2022,8.42
SD,2022,10.44
SAT,2022,11.48
DE,2022,11.83
DC,2022,14.94
FL,2022,12.51
GA,2022,12.0
MD,2022,13.32
NC,2022,9.6
SC,2022,10.74
VA,2022,10.75
WV,2022,9.74
ESC,2022,10.91
AL,2022,11.59
KY,2022,10.51
MS,2022,10.36
TN,2022,10.89
WSC,2022,10.16
AR,2022,9.91
LA,2022,10.41
OK,2022,10.05
TX,2022,10.16
MTN,2022,10.46
AZ,2022,11.31
CO,2022,11.75
ID,2022,8.51
MT,2022,9.97
NV,2022,10.94
NM,2022,10.02
UT,2022,8.8
WY,2022,8.24
PCC,2022,17.46
CA,2022,22.33
OR,2022,9.26
WA,2022,9.05
PCN,2022,32.14
AK,2022,20.73
HI,2022,39.72
AT,2022,13.25
NEW,2023,22.73
CT,2023,24.21
ME,2023,20.95
MA,2023,22.97
NH,2023,22.98
RI,2023,21.97
VT,2023,17.52
MAT,2023,15.43
NJ,2023,15.41
NY,2023,18.32
PA,2023,12.54
ENC,2023,12.03
IL,2023,11.91
IN,2023,11.5
MI,2023,13.66
OH,2023,11.12
WI,2023,12.63
WNC,2023,10.49
IA,2023,9.43
KS,2023,11.12
MN,2023,12.17
MO,2023,11.01
NE,2023,9.19
ND,2023,7.92
SD,2023,10.42
SAT,2023,12.03
DE,2023,12.96
DC,2023,16.53
FL,2023,13.51
GA,2023,11.36
MD,2023,14.37
NC,2023,10.86
SC,2023,10.76
VA,2023,10.92
WV,2023,10.27
ESC,2023,10.87
AL,2023,11.5
KY,2023,10.05
MS,2023,11.1
TN,2023,10.79
WSC,2023,9.76
AR,2023,9.74
LA,2023,8.88
OK,2023,9.4
TX,2023,9.99
MTN,2023,11.07
AZ,2023,12.14
CO,2023,11.77
ID,2023,9.12
MT,2023,10.91
NV,2023,13.01
NM,2023,9.67
UT,2023,9.03
WY,2023,8.34
PCC,2023,19.15
CA,2023,24.73
OR,2023,10.23
WA,2023,9.61
PCN,2023,31.72
AK,2023,21.39
HI,2023,38.7
AT,2023,13.73
